MovieID,CoverURL,Directors,Writers,Actors
114709,https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@.jpg,John Lasseter,"John Lasseter, Pete Docter, Andrew Stanton, Joe Ranft, Joss Whedon, Andrew Stanton, Joel Cohen, Alec Sokolow","Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn"
113497,https://m.media-amazon.com/images/M/MV5BZTk2ZmUwYmEtNTcwZS00YmMyLWFkYjMtNTRmZDA3YWExMjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,Joe Johnston,"Jonathan Hensleigh, Greg Taylor, Jim Strain, Greg Taylor, Jim Strain, Chris Van Allsburg, Chris Van Allsburg","Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce, Bonnie Hunt"
113228,https://m.media-amazon.com/images/M/MV5BMDkwYTZmMDQtOWNhOC00Y2I5LWI0NjQtOTljODBmZjU0NWU2XkEyXkFqcGdeQXVyMTcwOTQzOTYy.jpg,Howard Deutch,"Mark Steven Johnson, Mark Steven Johnson","Walter Matthau, Jack Lemmon, Sophia Loren, Ann-Margret, Burgess Meredith"
114885,https://m.media-amazon.com/images/M/MV5BYzcyMDY2YWQtYWJhYy00OGQ2LTk4NzktYWJkNDYwZWJmY2RjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@.jpg,Forest Whitaker,"Terry McMillan, Terry McMillan, Ron Bass","Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon, Gregory Hines"
113041,https://m.media-amazon.com/images/M/MV5BOTEyNzg5NjYtNDU4OS00MWYxLWJhMTItYWU4NTkyNDBmM2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,Charles Shyer,"Albert Hackett, Frances Goodrich, Nancy Meyers, Charles Shyer","Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley, George Newbern"
113277,https://m.media-amazon.com/images/M/MV5BYjZjNTJlZGUtZTE1Ny00ZDc4LTgwYjUtMzk0NDgwYzZjYTk1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,Michael Mann,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Tom Sizemore"
114319,https://m.media-amazon.com/images/M/MV5BYjQ5ZjQ0YzQtOGY3My00MWVhLTgzNWItOTYwMTE5N2ZiMDUyXkEyXkFqcGdeQXVyNjUwMzI2NzU@.jpg,Sydney Pollack,"Samuel A. Taylor, Billy Wilder, Samuel A. Taylor, Ernest Lehman, Barbara Benedek, David Rayfiel","Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand, John Wood"
112302,https://m.media-amazon.com/images/M/MV5BN2ZkZTMxOTAtMzg1Mi00M2U0LWE2NWItZDg4YmQyZjVkMDdhXkEyXkFqcGdeQXVyNTM5NzI0NDY@.jpg,Peter Hewitt,"Mark Twain, Stephen Sommers, David Loughery","Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket, Amy Wright"
114576,https://m.media-amazon.com/images/M/MV5BYWEyODkwYTItZDI1ZC00ODhiLWFkNGMtMTU3NTk2ZGMxYjE3XkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg,Peter Hyams,"Karen Elise Baldwin, Gene Quintano","Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright, Ross Malinger"
113189,https://m.media-amazon.com/images/M/MV5BOWI0MTJlMjEtYTI0ZS00NWZiLWE1ZmItYzBlZTE5YTk3NTJiXkEyXkFqcGdeQXVyMTEwNDU1MzEy.jpg,Martin Campbell,"Ian Fleming, Michael France, Jeffrey Caine, Bruce Feirstein","Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker"
